{'stateEstimate.z': -0.1441454142332077, 'stateEstimate.y': 2.8621163368225098, 'stateEstimate.x': 1.1620538234710693}
{'stateEstimate.z': -0.14641082286834717, 'stateEstimate.y': 2.8570175170898438, 'stateEstimate.x': 1.1716965436935425}
{'stateEstimate.z': -0.14832167327404022, 'stateEstimate.y': 2.8589959144592285, 'stateEstimate.x': 1.1725629568099976}
{'stateEstimate.z': -0.14721576869487762, 'stateEstimate.y': 2.858765125274658, 'stateEstimate.x': 1.168643832206726}
{'stateEstimate.z': -0.14811711013317108, 'stateEstimate.y': 2.8595454692840576, 'stateEstimate.x': 1.168294906616211}
{'stateEstimate.z': -0.14626170694828033, 'stateEstimate.y': 2.857102155685425, 'stateEstimate.x': 1.164734125137329}
{'stateEstimate.z': -0.14636793732643127, 'stateEstimate.y': 2.8579421043395996, 'stateEstimate.x': 1.1680529117584229}
{'stateEstimate.z': -0.14561527967453003, 'stateEstimate.y': 2.85713791847229, 'stateEstimate.x': 1.1675931215286255}
{'stateEstimate.z': -0.14674381911754608, 'stateEstimate.y': 2.858022451400757, 'stateEstimate.x': 1.1699326038360596}
{'stateEstimate.z': -0.14551761746406555, 'stateEstimate.y': 2.856339931488037, 'stateEstimate.x': 1.1688719987869263}
{'stateEstimate.z': -0.14716684818267822, 'stateEstimate.y': 2.856891393661499, 'stateEstimate.x': 1.172647476196289}
{'stateEstimate.z': -0.14782889187335968, 'stateEstimate.y': 2.8574202060699463, 'stateEstimate.x': 1.1727713346481323}
{'stateEstimate.z': -0.1459059715270996, 'stateEstimate.y': 2.8572301864624023, 'stateEstimate.x': 1.17177152633667}
{'stateEstimate.z': -0.14814479649066925, 'stateEstimate.y': 2.857621669769287, 'stateEstimate.x': 1.1726943254470825}
{'stateEstimate.z': -0.14636020362377167, 'stateEstimate.y': 2.857464551925659, 'stateEstimate.x': 1.1730786561965942}
{'stateEstimate.z': -0.14659343659877777, 'stateEstimate.y': 2.859312057495117, 'stateEstimate.x': 1.1735475063323975}
{'stateEstimate.z': -0.14576594531536102, 'stateEstimate.y': 2.858565330505371, 'stateEstimate.x': 1.1718027591705322}
{'stateEstimate.z': -0.14737609028816223, 'stateEstimate.y': 2.8594462871551514, 'stateEstimate.x': 1.1734029054641724}
{'stateEstimate.z': -0.14617811143398285, 'stateEstimate.y': 2.8573527336120605, 'stateEstimate.x': 1.1729567050933838}
{'stateEstimate.z': -0.14744064211845398, 'stateEstimate.y': 2.856632947921753, 'stateEstimate.x': 1.1746718883514404}
